敝绨恶粟,敝衣粝食
触物伤情,触目伤怀
出师,发兵
风餐露宿,餐风沐雨
不着边际,天花乱坠
拜候,探问
拜望,拜谒
风马不接,风马牛不相及
低眉顺眼,百依百顺
荡然无存,荡然无遗
才气,才调
东征西讨,东讨西征
春暖花开,百花齐放
撤退,除掉
兜售,兜销
碑帖,碑本
饱经世变,饱经世故
悲痛欲绝,痛定思痛
托言,托词
反感,恶感
粗糙,粗陋
遁迹桑门,遁迹空门
但凡,凡是
调动,调度
不分皂白,不分青白
冲州撞府,冲州过府
唇揭齿寒,巢倾卵破
白龙微服,白龙鱼服
兵戎相见,刀兵相见
体现,表现
北鄙之声,北鄙之音
特意,特特
统帅,统领
停滞,停留
付之一笑,嗤之以鼻
促使,敦促
不快,悲痛
放任,放手
饱经霜雪,饱经风霜
发愤,奋发
推却,辞让
部署,陈设
茶话会,谈话会
风仪,风度
舛误,错误
烦琐,繁杂词语
谠言嘉论,谠言直声
储备,储存
二话不说,二话没说
创建,缔造
飞觥献斝,飞觥走斝
天分,天生
大吵大闹,大呼小叫
浮生一梦,浮生若梦
推却,推托
撮土为香,撮土焚香
宾客盈门,车马盈门
才具,才干
不共戴天,不同戴天
创制,创设
停息,停滞
脱逃,逃脱
单丝不成线,独木不成林
扶养,抚养
悲伤,悲痛
畅饮,痛饮
嘟哝,嘟囔
防患未然,防患未萌
崇敬,推崇
柏舟之节,柏舟之誓
并肩而立,比肩而立
大概,大约
天长地久,天长日久
仇恨,仇隙
出生,诞生
撤消,退却
倘佯,逗留
避实击虚,避实就虚
半推半就,半真半假
停止,冻结
出口成章,出语成章
创立,创设
勃然变色,勃然大怒
筹划,筹办
服帖,服理
不相上下,分庭伉礼
半面之交,半面之识
风中之烛,风中残烛
跳班,跳级
田园,田野
天生地设,天生天化
放手,放纵
聪慧,聪明
创作,创造
不可救疗,不可救药
特别,非常
承受,秉承
刁滑,刁钻
途径,道路
粗暴,粗鲁
德高望尊,德高望重
梵呪,梵咒
不容置疑,不由分说
复仇雪耻,报仇雪耻
不足为奇,层出不穷
风起云涌,风靡云蒸
停留,停驻
大作,通行
才情,才智
呆子,笨伯
词章,词翰
敦厚,淳厚
负俗之累,负俗之讥
乘人之危,趁火打劫
推诚布信,推诚布公
场合,场面
编纂,编著
测度,猜度
传布,传颂
充沛,充盈
反其道而行之,反治其身
本原,本源
妨碍,波折
仿效,仿造
补助,补贴
大意,粗心
天分,赋性
备案,存案
粗枝大叶,胆大妄为
嗤笑,嘲讽
匆匆中,匆忙
雕刻,雕镂
富可敌国,富堪敌国
洞天福地,福地洞天
同心合力,同心并力
德才兼备,才高行洁
不落俗套,不落窠臼
不可,弗成
猜想,猜臆
惨无人理,惨无人道
推心置腹,贴心贴腹
飞鸿踏雪,飞鸿雪爪
愁眉不展,蹙额颦眉
推倒,颠覆
徒劳无益,敝鼓丧豚
出以公心,大公无私
头子,头领
大抵,大略
充实,富裕
放任,放浪
防守,防范
腐臭,腐败
悲天悯人,愁肠百结
反求诸己,闭门思过
天真,纯真
